experiment,method,rep_index,sample_ms
p1d_variant_scoped_structural,commerce_native,17,0.021027
p1d_variant_scoped_structural,commerce_native,18,0.018063
p1d_variant_scoped_structural,commerce_native,19,0.161867
p1d_variant_scoped_structural,commerce_native,20,0.014842
p1d_variant_scoped_structural,commerce_native,21,0.011249
p1d_variant_scoped_structural,commerce_native,22,0.008616
p1d_variant_scoped_structural,commerce_native,23,0.006280999999999999
p1d_variant_scoped_structural,commerce_native,24,0.011991
p1d_variant_scoped_structural,commerce_native,25,0.013098
p1d_variant_scoped_structural,commerce_native,26,0.016784999999999998
p1d_variant_scoped_structural,commerce_native,27,0.016342
p1d_variant_scoped_structural,commerce_native,28,0.010005
p1d_variant_scoped_structural,commerce_native,29,0.012436
p1d_variant_scoped_structural,tantivy_standalone,0,1.990323
p1d_variant_scoped_structural,tantivy_standalone,1,2.6638819999999996
p1d_variant_scoped_structural,tantivy_standalone,2,1.433996
p1d_variant_scoped_structural,tantivy_standalone,3,4.000966
p1d_variant_scoped_structural,tantivy_standalone,4,0.8401850000000001
p1d_variant_scoped_structural,tantivy_standalone,5,0.47610699999999995
p1d_variant_scoped_structural,tantivy_standalone,6,0.180646
p1d_variant_scoped_structural,tantivy_standalone,7,2.701864
p1d_variant_scoped_structural,tantivy_standalone,8,1.496054
p1d_variant_scoped_structural,tantivy_standalone,9,1.0239019999999999
p1d_variant_scoped_structural,tantivy_standalone,10,6.383252
p1d_variant_scoped_structural,tantivy_standalone,11,8.111163
p1d_variant_scoped_structural,tantivy_standalone,12,4.246538
p1d_variant_scoped_structural,tantivy_standalone,13,3.561379
p1d_variant_scoped_structural,tantivy_standalone,14,0.183179
p1d_variant_scoped_structural,tantivy_standalone,15,0.592862
p1d_variant_scoped_structural,tantivy_standalone,16,6.583384000000001
p1d_variant_scoped_structural,tantivy_standalone,17,0.9127350000000001
p1d_variant_scoped_structural,tantivy_standalone,18,0.820876
p1d_variant_scoped_structural,tantivy_standalone,19,0.207587
p1d_variant_scoped_structural,tantivy_standalone,20,0.298576
p1d_variant_scoped_structural,tantivy_standalone,21,2.7741749999999996
p1d_variant_scoped_structural,tantivy_standalone,22,0.9813669999999999
p1d_variant_scoped_structural,tantivy_standalone,23,0.6392150000000001
p1d_variant_scoped_structural,tantivy_standalone,24,0.563302
p1d_variant_scoped_structural,tantivy_standalone,25,0.44621299999999997
p1d_variant_scoped_structural,tantivy_standalone,26,0.188403
p1d_variant_scoped_structural,tantivy_standalone,27,0.21176999999999999
p1d_variant_scoped_structural,tantivy_standalone,28,1.5216699999999999
p1d_variant_scoped_structural,tantivy_standalone,29,0.318862
p1d_variant_scoped_structural,solr,0,1.549021
p1d_variant_scoped_structural,solr,1,1.4872830000000001
p1d_variant_scoped_structural,solr,2,1.77958
p1d_variant_scoped_structural,solr,3,1.544404
p1d_variant_scoped_structural,solr,4,1.6201729999999999
p1d_variant_scoped_structural,solr,5,1.427637
p1d_variant_scoped_structural,solr,6,1.471355
p1d_variant_scoped_structural,solr,7,1.624395
p1d_variant_scoped_structural,solr,8,1.362492
p1d_variant_scoped_structural,solr,9,1.538314
p1d_variant_scoped_structural,solr,10,2.470155
p1d_variant_scoped_structural,solr,11,2.7839929999999997
p1d_variant_scoped_structural,solr,12,2.117809
p1d_variant_scoped_structural,solr,13,2.1013479999999998
p1d_variant_scoped_structural,solr,14,2.01103
p1d_variant_scoped_structural,solr,15,2.119321
p1d_variant_scoped_structural,solr,16,1.684056
p1d_variant_scoped_structural,solr,17,2.178477
p1d_variant_scoped_structural,solr,18,1.748246
