experiment,method,metric,n,mean,stddev,min,p10,p25,p50,p75,p90,p95,p99,max
p1d_long_tail_noisy,solr,latency_ms,30,1.2086993333333331,0.29640756858319645,0.787632,0.8451426000000001,0.9301835,1.206153,1.4837485,1.6149291000000001,1.6624678,1.69536437,1.7072100000000001
p1d_structural_exact_entity,commerce_native,latency_ms,30,0.019548633333333336,0.01493880963610147,0.005575999999999999,0.009834500000000001,0.01184775,0.0171085,0.020879750000000002,0.029056900000000007,0.03464359999999999,0.07362876000000004,0.08886999999999999
p1d_structural_exact_entity,tantivy_standalone,latency_ms,30,1.3304274333333335,3.5183489946977597,0.072509,0.0852668,0.10686725,0.15383249999999998,0.4636245,1.684351000000001,8.16144054999997,14.532207990000002,15.191108
p1d_structural_exact_entity,solr,latency_ms,30,0.7661344000000002,0.18140084479113633,0.580092,0.6271662,0.666915,0.7135184999999999,0.78262575,0.9744907000000002,1.1366114999999994,1.35532881,1.414173
p1d_variant_scoped_structural,commerce_native,latency_ms,30,0.018996633333333332,0.009022472669275096,0.005004,0.010485900000000001,0.01404775,0.017053,0.02108,0.029049000000000002,0.03331879999999998,0.04512163000000001,0.048674999999999996
p1d_variant_scoped_structural,tantivy_standalone,latency_ms,30,1.3182765666666667,1.7188978000551176,0.139835,0.1860704,0.2513345,0.6704095000000001,1.19006575,3.9606403,5.013509799999996,6.415180610000001,6.740877
p1d_variant_scoped_structural,solr,latency_ms,30,0.9334528999999997,0.2267487879714176,0.6721560000000001,0.7260177000000001,0.78012075,0.8811884999999999,0.9948007499999999,1.2040706,1.2942284999999996,1.5944885200000003,1.687727
p1d_range_plus_structural,commerce_native,latency_ms,30,44.017347,17.536237064627905,32.032689000000005,32.2006739,32.78000325,41.1940235,42.88931725,57.26912150000005,91.11865024999999,95.50705421,96.41387
p1d_range_plus_structural,tantivy_standalone,latency_ms,30,3.402662166666667,0.7812126177086351,2.477835,2.5425749,2.59955425,3.3883289999999997,4.1738972500000004,4.3842603,4.450799399999999,4.5922196600000005,4.629991
p1d_range_plus_structural,solr,latency_ms,30,1.652848966666667,0.2618306687013289,0.862997,1.2677173,1.5448795000000002,1.7325105,1.83810575,1.8745659000000001,1.9181257,1.97004074,1.9872359999999998
p1d_structural_plus_lexical_residual,commerce_native,latency_ms,30,11.175542733333334,11.089501783041111,0.279272,0.46221470000000003,3.4466170000000003,7.092271,12.9330335,28.206169000000003,29.864106,35.199880500000006,37.376664
p1d_structural_plus_lexical_residual,tantivy_standalone,latency_ms,30,16.7108625,14.184279056532505,2.036265,3.1406309,4.829518500000001,13.2396225,28.46837825,34.441015300000004,41.76277489999997,49.111031600000004,50.043515
p1d_structural_plus_lexical_residual,solr,latency_ms,30,1.4907683,0.2799195048817637,0.813361,1.0605426999999998,1.3630455,1.5812515,1.6874770000000001,1.7263587999999999,1.7488945499999997,1.85788782,1.9009649999999998
p1d_structural_plus_semantic_residual,commerce_native,latency_ms,30,6.004931266666667,4.608953773355937,0.369653,0.4853767,2.6308612499999997,4.182487500000001,10.615586999999998,11.753362900000003,13.256134349999995,15.76677925,16.401611
p1d_structural_plus_semantic_residual,tantivy_standalone,latency_ms,30,6.717482766666667,9.257236331610555,0.997169,1.2476659,1.340024,1.7639365,9.44748625,11.429736100000003,25.600809999999935,37.916545930000005,38.775115
p1d_structural_plus_semantic_residual,solr,latency_ms,30,1.3611045666666668,0.3183917256737295,0.798986,0.9410807,1.1306237499999998,1.330791,1.6322155,1.7788177,1.8099945,1.90957291,1.942175
p1d_lexical_first,commerce_native,latency_ms,30,6.941747899999999,7.473974686664198,0.220413,1.6026175,2.5778294999999996,5.23562,6.5131695,10.822691300000027,27.6027435,28.25720043,28.437213
p1d_lexical_first,tantivy_standalone,latency_ms,30,11.334171099999999,12.233290379198294,0.32183199999999995,0.7994096000000002,4.0757735,8.9629945,11.4980625,24.03217930000003,43.1315548,45.535048630000006,46.494529
p1d_lexical_first,solr,latency_ms,30,2.3926784666666667,4.346775548132763,0.7934129999999999,0.9908541,1.36177425,1.5143,1.6756739999999999,1.7683492,4.4917413499999865,19.536337030000016,24.805548
p1d_ambiguous_punt,commerce_native,latency_ms,30,7.4613498666666676,5.204860328381267,1.126781,3.1009038,3.8342865,5.077058,10.37354625,16.2136503,17.743989499999994,19.21418567,19.403548999999998
p1d_ambiguous_punt,tantivy_standalone,latency_ms,30,17.846350466666667,9.365929164724415,3.868059,6.3639817,9.28024125,19.0547655,21.15469025,29.043022000000004,33.698813849999986,37.690877390000004,38.411617
p1d_ambiguous_punt,solr,latency_ms,30,1.4904420666666667,0.3379693854439699,0.7533559999999999,0.9311211,1.2980945,1.6005340000000001,1.6990115000000001,1.8101250000000002,1.8253454,1.9912238900000003,2.0544320000000003
p1d_long_tail_noisy,commerce_native,latency_ms,30,4.434210800000001,2.5719540253965016,0.332668,1.8739916,2.4367425000000003,3.636294,6.2286585,7.814928100000003,9.30514745,9.66923803,9.785613
p1d_long_tail_noisy,tantivy_standalone,latency_ms,30,4.619008733333333,3.164513147555113,0.338441,0.5211247,2.6831227500000003,4.003082000000001,6.769107249999999,9.3936719,9.796865049999997,11.152370720000002,11.605041
