trigger,brand_id,catalog_purity,matched_queries,newly_admitted,native_ndcg_mean,solr_ndcg_mean,false_positives,false_positive_rate,decision
colgate kids,19901,1,1,0,0,0,0,0,REJECT (no coverage)
color wonder,7031,0.9615384615384616,1,0,0,0,0,0,REJECT (no coverage)
columbia kids,4390,1,1,0,0,0,0,0,REJECT (no coverage)
columbia women's,4390,1,2,0,0,0,0,0,REJECT (no coverage)
columbia women's newton,4390,1,1,0,0,0,0,0,REJECT (no coverage)
comfort pants,3117,0.8,1,0,0,0,0,0,REJECT (no coverage)
command™ large,40046,1,1,0,0,0,0,0,REJECT (no coverage)
comp 2,29806,1,1,0,0,0,0,0,REJECT (no coverage)
conan the barbarian,1126,0.8181818181818182,1,1,0.727329844310522,0.933564588803294,0,0,PROMOTE
concentrace trace,49832,0.9090909090909091,1,1,0.4617285568034221,0.7385158985806739,0,0,PROMOTE
concentrace trace mineral,49832,0.9090909090909091,1,1,0.4617285568034221,0.7385158985806739,0,0,PROMOTE
converse unisex,8790,1,2,0,0,0,0,0,REJECT (no coverage)
converse unisex chuck,8790,1,1,0,0,0,0,0,REJECT (no coverage)
converse women,8790,1,1,0,0,0,0,0,REJECT (no coverage)
corsair vengeance,4675,1,1,0,0,0,0,0,REJECT (no coverage)
cotton loops,51884,0.8571428571428571,1,0,0,0,0,0,REJECT (no coverage)
country brook,14076,1,1,0,0,0,0,0,REJECT (no coverage)
crayola color,7031,0.9473684210526315,1,0,0,0,0,0,REJECT (no coverage)
crayola color wonder,7031,1,1,0,0,0,0,0,REJECT (no coverage)
crest 3d,2266,0.918918918918919,1,0,0,0,0,0,REJECT (no coverage)
crocs women,3664,1,1,0,0,0,0,0,REJECT (no coverage)
croix sparkling,89710,0.8,1,1,0,0.6235540477207573,1,1,REJECT (false-positive rate too high)
croix sparkling water,89710,0.8,1,1,0,0.6235540477207573,1,1,REJECT (false-positive rate too high)
cubre bocas,14100,0.9090909090909091,1,1,0.3667314583167897,0.25430127623392856,0,0,PROMOTE
custom fit orthotic,35721,1,1,0,0,0,0,0,REJECT (no coverage)
d con,54239,0.8,1,0,0,0,0,0,REJECT (no coverage)
d flashlight,6009,0.8571428571428571,1,0,0,0,0,0,REJECT (no coverage)
