trigger,brand_id,catalog_purity,matched_queries,newly_admitted,native_ndcg_mean,solr_ndcg_mean,false_positives,false_positive_rate,decision
triple paste diaper,184473,0.9333333333333333,1,0,0,0,0,0,REJECT (no coverage)
tru-spec men's,31710,1,1,0,0,0,0,0,REJECT (no coverage)
turbo slingshock,29769,0.9444444444444444,1,0,0,0,0,0,REJECT (no coverage)
turtle beach stealth,62795,0.9166666666666666,1,0,0,0,0,0,REJECT (no coverage)
tv frames,130676,0.9333333333333333,1,1,0.6410457898283652,0.8512360941594272,0,0,PROMOTE
type cover black,4957,1,1,0,0,0,0,0,REJECT (no coverage)
ultimate sherpa,50173,0.9,1,1,0.679605484453288,0.7849818707050382,0,0,PROMOTE
ultimate sherpa throw,50173,0.9,1,1,0.679605484453288,0.7849818707050382,0,0,PROMOTE
ultimate t-shirt,3355,0.8275862068965517,1,0,0,0,0,0,REJECT (no coverage)
ultimate t-shirt soft,3355,0.8076923076923077,1,0,0,0,0,0,REJECT (no coverage)
ultra mega,6017,0.9375,1,0,0,0,0,0,REJECT (no coverage)
ume plum,38037,0.8,1,0,0,0,0,0,REJECT (no coverage)
under armour mens,487,1,1,0,0,0,0,0,REJECT (no coverage)
under armour women,487,1,1,0,0,0,0,0,REJECT (no coverage)
under armour youth,487,1,1,0,0,0,0,0,REJECT (no coverage)
unisex chuck,8790,1,1,0,0,0,0,0,REJECT (no coverage)
unisex chuck taylor,8790,1,1,0,0,0,0,0,REJECT (no coverage)
uno de,134916,0.9230769230769231,1,1,0.3126667288804499,0.9537125187088151,0,0,PROMOTE
ups system,9736,0.9565217391304348,1,0,0,0,0,0,REJECT (no coverage)
usb a cable,5,0.96,1,0,0,0,0,0,REJECT (no coverage)
v8 splash,25270,0.9285714285714286,1,0,0,0,0,0,REJECT (no coverage)
vanilla acorn,5778,0.9166666666666666,1,0,0,0,0,0,REJECT (no coverage)
vans boys,37151,1,1,0,0,0,0,0,REJECT (no coverage)
vans kids,37151,1,2,0,0,0,0,0,REJECT (no coverage)
vapormax plus,3656,1,1,1,0.305560916762982,0.6851198693323689,0,0,PROMOTE
vatpave mens,114624,1,1,0,0,0,0,0,REJECT (no coverage)
velociraptor blue,33842,1,1,0,0,0,0,0,REJECT (no coverage)
vibram five,80303,1,1,0,0,0,0,0,REJECT (no coverage)
vibram five fingers,80303,1,1,0,0,0,0,0,REJECT (no coverage)
victrola vintage,17282,1,1,0,0,0,0,0,REJECT (no coverage)
victrola vintage 3-speed,17282,1,1,0,0,0,0,0,REJECT (no coverage)
video doorbell 3,16444,1,1,0,0,0,0,0,REJECT (no coverage)
vitamin code,685,0.8823529411764706,1,1,0.32570104495038144,0.42427840936187455,0,0,PROMOTE
vitamin shoppe,22701,0.88,1,0,0,0,0,0,REJECT (no coverage)
vtech baby,13723,0.8461538461538461,1,0,0,0,0,0,REJECT (no coverage)
warmies microwavable,52303,0.9166666666666666,1,0,0,0,0,0,REJECT (no coverage)
warmies microwavable french,52303,0.9166666666666666,1,0,0,0,0,0,REJECT (no coverage)
washable markers,7031,0.8095238095238095,1,0,0,0,0,0,REJECT (no coverage)
water wow,2350,1,1,0,0,0,0,0,REJECT (no coverage)
wd gold,2039,0.9285714285714286,1,0,0,0,0,0,REJECT (no coverage)
wd purple,2039,0.8947368421052632,1,0,0,0,0,0,REJECT (no coverage)
weber grill,6918,0.8235294117647058,1,0,0,0,0,0,REJECT (no coverage)
weboost drive,95967,1,1,0,0,0,0,0,REJECT (no coverage)
wheels premium,21596,0.9090909090909091,1,0,0,0,0,0,REJECT (no coverage)
white binder,1731,0.9615384615384616,1,0,0,0,0,0,REJECT (no coverage)
white extension,3157,0.8181818181818182,2,0,0,0,0,0,REJECT (no coverage)
white extension cord,3157,0.9,2,0,0,0,0,0,REJECT (no coverage)
white sport,3147,0.8461538461538461,1,0,0,0,0,0,REJECT (no coverage)
wi-fi, 32gb,3147,0.8571428571428571,1,0,0,0,0,0,REJECT (no coverage)
wi-fi, 32gb -,3147,0.8571428571428571,1,0,0,0,0,0,REJECT (no coverage)
wikki stix,138922,0.8125,1,1,0.5309999066793252,0.7353797772725617,0,0,PROMOTE
winflo 5,3656,1,1,0,0,0,0,0,REJECT (no coverage)
wire free security,9892,0.8461538461538461,1,0,0,0,0,0,REJECT (no coverage)
witch hazel facial,130521,0.9,1,1,0.5079937796926363,0.6300426811446145,0,0,PROMOTE
with spinner wheels,1585,0.82,2,0,0,0,0,0,REJECT (no coverage)
without cruelty,150092,1,1,0,0,0,0,0,REJECT (no coverage)
without d3,10435,0.9,4,1,0.4151577146114119,0.7318317512413369,0,0,PROMOTE
without valve,5431,0.8,1,0,0,0,0,0,REJECT (no coverage)
women long johns,28738,0.8,1,0,0,0,0,0,REJECT (no coverage)
women's devotion,4199,1,1,0,0,0,0,0,REJECT (no coverage)
women's newton,4390,1,1,0,0,0,0,0,REJECT (no coverage)
women's newton ridge,4390,1,1,0,0,0,0,0,REJECT (no coverage)
women's tank,275,0.8,1,0,0,0,0,0,REJECT (no coverage)
women's ultimate t-shirt,3355,0.8636363636363636,1,0,0,0,0,0,REJECT (no coverage)
womens go,6085,0.9387755102040817,1,0,0,0,0,0,REJECT (no coverage)
womens w,3656,0.875,1,0,0,0,0,0,REJECT (no coverage)
work pant,7594,0.86,1,0,0,0,0,0,REJECT (no coverage)
works aromatherapy,21369,0.84,1,0,0,0,0,0,REJECT (no coverage)
x 1tb,4957,0.8064516129032258,1,0,0,0,0,0,REJECT (no coverage)
x 1tb console,4957,0.9090909090909091,1,0,0,0,0,0,REJECT (no coverage)
x1 carbon 7th,5575,1,1,0,0,0,0,0,REJECT (no coverage)
xbox gift,4957,1,1,1,0.29740901205864334,0.6785008044950671,0,0,PROMOTE
xbox gift card,4957,1,1,1,0.29740901205864334,0.6785008044950671,0,0,PROMOTE
xd design,124929,1,1,1,0.3667314583167897,0.5600305932318571,0,0,PROMOTE
xd design bobby,124929,1,1,1,0.3667314583167897,0.5600305932318571,0,0,PROMOTE
year home improvement,3173,1,1,0,0,0,0,0,REJECT (no coverage)
yogi tea,17790,0.84,1,0,0,0,0,0,REJECT (no coverage)
zippo lighter,15523,0.9615384615384616,1,0,0,0,0,0,REJECT (no coverage)
zoom pegasus,3656,1,1,0,0,0,0,0,REJECT (no coverage)
zoom pegasus 35,3656,1,1,0,0,0,0,0,REJECT (no coverage)
