qid,combined_count,native_ndcg,native_recall,native_mrr,solr_ndcg,solr_recall,solr_mrr,native_hit_count,solr_hit_count
13170,8,0.06943122193677725,0.07692307692307693,0.125,0.09478836436955078,0.07692307692307693,0.25,8,7
13175,70,0.07839826897867533,0.0625,0.16666666666666666,0.07336392209936005,0.0625,0.14285714285714285,10,10
13321,51,0.42556413675309335,0.4375,0.25,0.28657896323986254,0.1875,1,10,10
13595,6,0.6489315753318465,0.3125,1,0.5072380780124417,0.3125,0.5,6,6
13863,3,0,0,0,0,0,0,3,3
13895,7,0.2240055615151755,0.125,0.5,0.3529461582433961,0.25,0.5,7,10
13988,5,0.6951116003271834,0.5,1,0.7662747656758899,0.5,1,5,10
14376,105,0.0636207881989517,0.03125,0.1,0,0,0,10,10
14380,22,0.12987501165334073,0.1111111111111111,0.1111111111111111,0.18340980524840012,0.1111111111111111,0.3333333333333333,10,10
14734,1,0,0,0,0,0,0,1,1
14804,1,0.18660113481564067,0.0625,1,0.2675108717549466,0.125,1,1,10
14862,15,0,0,0,0.45597401448695507,0.5,0.5,10,10
14879,11,0.7799082337019198,0.5625,0.5,0.96331803895032,0.625,1,10,10
15002,3,0.5698664345004878,0.1875,1,0.6466492297915689,0.25,1,3,10
15055,1597,0,0,0,0,0,0,10,10
15211,12,0.6410457898283652,0.5333333333333333,0.3333333333333333,0.8603818544462509,0.5333333333333333,1,10,10
15286,3,0.28678053204097154,0.125,0.5,0.5586390833216328,0.25,1,3,5
15292,60,0,0,0,0.06943122193677725,0.04,0.125,10,10
15296,60,0.1374086302940712,0.125,0.2,0.2824132895898864,0.1875,1,10,10
15299,28,0.2710884709729799,0.1875,0.3333333333333333,0.45374257454118544,0.1875,1,10,10
15392,72,0.866947989864271,0.5714285714285714,1,0.09478836436955078,0.07142857142857142,0.25,10,10
15599,1,0,0,0,0,0,0,1,1
15740,43,0,0,0,0,0,0,10,10
15863,18,0.8760549825231239,0.625,1,0.5868720866710773,0.375,1,10,10
15923,1,0,0,0,0,0,0,1,1
16081,155,0,0,0,0.0636207881989517,0.0625,0.1,10,10
16112,42,0,0,0,0,0,0,10,10
16175,5,0.08514311764162098,0.0625,0.2,0.227162174819248,0.1875,0.2,5,10
16625,7,0.35895421017163465,0.125,1,0.2240055615151755,0.125,0.5,7,7
16705,20,0.6469392751612076,0.35714285714285715,1,0.38135635100880655,0.2857142857142857,0.5,10,10
16708,1,0,0,0,0,0,0,1,1
16998,23,0.23047380976071705,0.21428571428571427,0.25,0.486471450249967,0.42857142857142855,0.3333333333333333,10,10
16999,8,0,0,0,0,0,0,8,10
17096,3,0.2357541930550393,0.0625,1,0.3488755592453615,0.1875,1,3,10
17161,4,0.6039094289265273,0.25,1,0.7898580325383667,0.4375,1,4,10
17176,2,0.22009176629808014,0.02857142857142857,1,0.17318663334822612,0.05714285714285714,0.25,2,10
17253,97,0,0,0,0,0,0,10,10
17283,2,0.45650001423154074,0.125,1,0.5286871870681225,0.1875,1,2,5
